id	user	created_at	source	in_reply_to_status_id	in_reply_to_user_id	in_reply_to_screen_name	retweet_count	text
1457474681175470000	the_judas_tree	2021-11-07 22:26:57+00:00	Twitter Web App				0	Die #Klimakrise ist definitv eine der brennendsten Aufgaben unserer Zeit. Nichtsdestotrotz wäre es dem Diskurs äußerst zuträglich, wenn sich alle Beteiligten letztlich auch ehrlich machten. Showpolitik und wertlose Lippenbekenntnisse helfen nicht weiter. #ImZentrum #ORF2
1457474730332660000	GeorgP22	2021-11-07 22:27:08+00:00	Twitter Web App				0	"Der IV-Mann saß da wie M. Brando in ""Der Pate""! #imzentrum"
1457474747495850000	PapayR	2021-11-07 22:27:13+00:00	Twitter for iPhone				0	RT @j_puehringer: Lena Schilling bestellt Grüße von den #Lobau Besetzer*innen und es könnte kein besseres Schlusswort geben. #imzentrum
1457475069538670000	drakkalas	2021-11-07 22:28:29+00:00	Twitter for Android				0	RT @rudifussi: Unser Stromnetz ist nicht für massiven Ausbau von PV-Anlagen geeignet. Das Geld der Energiekonzerne fließt an Shareholder un…
1457475193341940000	fuxjaeger	2021-11-07 22:28:59+00:00	Twitter Web App		1,36932E+18	LenaSchilling1	0	"@LenaSchilling1 #imzentrum Achtung: Adam Smith's eigene Definition der ""unsichtbaren Hand"" weicht *fundamental* von der Definition ab die ihm angedichtet wird: https://t.co/9JlorUmetK"
1457475442320060000	KnutOgris	2021-11-07 22:29:58+00:00	Twitter for Android				0	RT @bertieroberts54: Weizsäcker hat bei #imzentrum einen zentralen Punkt angesprochen: Die Menschen in der Ersten Welt haben Null Interesse…
1457475551443170000	PapayR	2021-11-07 22:30:24+00:00	Twitter for iPhone				0	RT @j_puehringer: „Wir können nicht Autos durch Autos ersetzen, es braucht einen Ausbau der öffentlichen Verkehrsmittel, dass es raschelt.…
1457476208334080000	Gisi19788653	2021-11-07 22:33:01+00:00	Twitter Web App				0	RT @rudifussi: Unser Stromnetz ist nicht für massiven Ausbau von PV-Anlagen geeignet. Das Geld der Energiekonzerne fließt an Shareholder un…
1457476531585010000	KnutOgris	2021-11-07 22:34:18+00:00	Twitter for Android				0	RT @scharlatanja: Hausverstand wird schon auffallend häufig verwendet, um wissenschaftliche Erkenntnisse zu delegitimieren. #ImZentrum
1457476772082110000	Youdoit11	2021-11-07 22:35:15+00:00	Twitter Web App				0	"Wohlstandsverdummung scheint das Denkvermögen so sehr einzuschränken das ""Mia san Mia"" denken, bzw wie die ned so gstopften der Welt es machen werden is uns wurscht, keinen einzigen Satz Wert ist. dekadente Klimahysteriker go f ck yrslf #imzentrum"
1457478033871360000	Arjuna06729937	2021-11-07 22:40:16+00:00	Twitter Web App				0	Dieses Ego-Geschwätz wird den Planeten nicht retten. Am Besten kommt hier noch der Politiker Kaineder weg. #imzentrum
1457478079824250000	Mhs_ThatFace	2021-11-07 22:40:27+00:00	Twitter for iPhone				0	RT @bertieroberts54: Weizsäcker hat bei #imzentrum einen zentralen Punkt angesprochen: Die Menschen in der Ersten Welt haben Null Interesse…
1457478301291890000	IrmiNovak	2021-11-07 22:41:20+00:00	Twitter Web App				0	RT @martinmargulies: klare ansage von #lenaschilling - kleine schritte in die richtige richtung werden nicht reichen das problem zu lösen.…
1457478419743210000	KIlIeou	2021-11-07 22:41:48+00:00	Twitter for iPad				0	RT @ChrisGratzer: „Ziel des neugewählten New Yorker Bürgermeisters: 25 % der Straßen sollen geöffnet werden fürs Gehen, Radfahren, Taxis, Ö…
